Query,Time-In-MilliSeconds
select * from `sessions` where `id` = 'warGxJussE2jEpuQMmrXrqvJiHiVPcNtkaDAaMwi' limit 1, 0.31
select * from `users` where `id` = '1' limit 1, 0.31
select `name`, `id` from `route_names`, 0.36
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.create'), 0.24
select `id` from `route_names` where (`name` = 'auto-increaments.create') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.destroy'), 0.23
select `id` from `route_names` where (`name` = 'auto-increaments.destroy') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.edit'), 0.26
select `id` from `route_names` where (`name` = 'auto-increaments.edit') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.index'), 0.21
select `id` from `route_names` where (`name` = 'auto-increaments.index') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.show'), 0.22
select `id` from `route_names` where (`name` = 'auto-increaments.show') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.store'), 0.21
select `id` from `route_names` where (`name` = 'auto-increaments.store') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.update'), 0.21
select `id` from `route_names` where (`name` = 'auto-increaments.update') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'brand.activate'), 0.2
select `id` from `route_names` where (`name` = 'brand.activate') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'brand.ajax_get'), 0.2
select `id` from `route_names` where (`name` = 'brand.ajax_get') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'brand.create'), 0.21
select `id` from `route_names` where (`name` = 'brand.create') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'brand.csv'), 0.22
select `id` from `route_names` where (`name` = 'brand.csv') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'brand.de_activate'), 0.2
select `id` from `route_names` where (`name` = 'brand.de_activate') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'brand.destroy'), 0.2
select `id` from `route_names` where (`name` = 'brand.destroy') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'brand.edit'), 0.19
select `id` from `route_names` where (`name` = 'brand.edit') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'brand.index'), 0.19
select `id` from `route_names` where (`name` = 'brand.index') limit 1, 0.18
select count(*) as aggregate from `route_names` where (`name` = 'brand.show'), 0.2
select `id` from `route_names` where (`name` = 'brand.show') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'brand.store'), 0.2
select `id` from `route_names` where (`name` = 'brand.store') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'brand.update'), 0.23
select `id` from `route_names` where (`name` = 'brand.update') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'cities.ajax_get'), 0.21
select `id` from `route_names` where (`name` = 'cities.ajax_get') limit 1, 0.21
